Reference period,"Canadian residents returning from the United States of America, land",,
2000-01-01,"2,412,575",,
2000-02-01,"2,361,193",,
2000-03-01,"3,118,661",,
2000-04-01,"3,192,747",,
2000-05-01,"3,186,213",,
2000-06-01,"3,115,623",,
2000-07-01,"4,192,906",,
2000-08-01,"4,212,598",,
2000-09-01,"3,224,056",,
2000-10-01,"3,055,395",,
2000-11-01,"2,568,365",,
2000-12-01,"2,421,651",,
2001-01-01,"2,480,518",,
2001-02-01,"2,187,799",,
2001-03-01,"2,894,421",,
2001-04-01,"2,977,423",,
2001-05-01,"3,045,235",,
2001-06-01,"3,034,393",,
2001-07-01,"4,040,968",,
2001-08-01,"4,162,459",,
2001-09-01,"2,451,389",,
2001-10-01,"2,103,568",,
2001-11-01,"2,009,385",,
2001-12-01,"2,085,134",,
2002-01-01,"2,042,884",,
2002-02-01,"1,816,331",,
2002-03-01,"2,524,603",,
2002-04-01,"2,402,907",,
2002-05-01,"2,578,156",,
2002-06-01,"2,586,955",,
2002-07-01,"3,313,176",,
2002-08-01,"3,532,319",,
2002-09-01,"2,625,939",,
2002-10-01,"2,461,248",,
2002-11-01,"2,096,126",,
2002-12-01,"2,191,826",,
2003-01-01,"2,076,722",,
2003-02-01,"1,806,444",,
2003-03-01,"2,302,902",,
2003-04-01,"2,137,464",,
2003-05-01,"2,456,904",,
2003-06-01,"2,589,705",,
2003-07-01,"3,271,729",,
2003-08-01,"3,564,793",,
2003-09-01,"2,556,218",,
2003-10-01,"2,515,660",,
2003-11-01,"2,316,073",,
2003-12-01,"2,188,508",,
2004-01-01,"2,018,639",,
2004-02-01,"2,032,586",,
2004-03-01,"2,614,585",,
2004-04-01,"2,594,738",,
2004-05-01,"2,726,289",,
2004-06-01,"2,550,668",,
2004-07-01,"3,323,773",,
2004-08-01,"3,504,867",,
2004-09-01,"2,615,441",,
2004-10-01,"2,611,498",,
2004-11-01,"2,369,234",,
2004-12-01,"2,303,400",,
2005-01-01,"2,066,091",,
2005-02-01,"2,021,904",,
2005-03-01,"2,782,759",,
2005-04-01,"2,567,328",,
2005-05-01,"2,759,750",,
2005-06-01,"2,626,188",,
2005-07-01,"3,594,658",,
2005-08-01,"3,756,082",,
2005-09-01,"2,771,556",,
2005-10-01,"2,674,255",,
2005-11-01,"2,439,433",,
2005-12-01,"2,410,700",,
2006-01-01,"2,331,740",,
2006-02-01,"2,015,972",,
2006-03-01,"2,839,546",,
2006-04-01,"2,928,421",,
2006-05-01,"2,963,501",,
2006-06-01,"2,757,174",,
2006-07-01,"3,789,245",,
2006-08-01,"3,920,809",,
2006-09-01,"2,911,940",,
2006-10-01,"2,744,975",,
2006-11-01,"2,617,944",,
2006-12-01,"2,614,553",,
2007-01-01,"2,307,662",,
2007-02-01,"1,941,156",,
2007-03-01,"2,838,875",,
2007-04-01,"2,833,589",,
2007-05-01,"2,941,649",,
2007-06-01,"2,868,357",,
2007-07-01,"3,887,793",,
2007-08-01,"4,207,422",,
2007-09-01,"3,258,937",,
2007-10-01,"3,307,485",,
2007-11-01,"3,289,142",,
2007-12-01,"2,851,191",,
2008-01-01,"2,551,879",,
2008-02-01,"2,300,456",,
2008-03-01,"3,337,649",,
2008-04-01,"2,988,755",,
2008-05-01,"3,329,182",,
2008-06-01,"3,137,511",,
2008-07-01,"3,988,885",,
2008-08-01,"4,685,064",,
2008-09-01,"3,062,321",,
2008-10-01,"2,842,087",,
2008-11-01,"2,561,156",,
2008-12-01,"2,231,992",,
2009-01-01,"2,023,341",,
2009-02-01,"1,969,864",,
2009-03-01,"2,710,931",,
2009-04-01,"2,640,466",,
2009-05-01,"2,903,711",,
2009-06-01,"2,412,797",,
2009-07-01,"3,295,593",,
2009-08-01,"4,046,023",,
2009-09-01,"2,894,956",,
2009-10-01,"2,740,560",,
2009-11-01,"2,708,545",,
2009-12-01,"2,560,595",,
2010-01-01,"2,454,010",,
2010-02-01,"2,194,833",,
2010-03-01,"3,233,919",,
2010-04-01,"3,266,379",,
2010-05-01,"3,457,426",,
2010-06-01,"3,060,723",,
2010-07-01,"4,236,182",,
2010-08-01,"4,739,172",,
2010-09-01,"3,387,716",,
2010-10-01,"3,357,294",,
2010-11-01,"3,221,646",,
2010-12-01,"3,183,622",,
2011-01-01,"2,820,717",,
2011-02-01,"2,590,385",,
2011-03-01,"3,615,223",,
2011-04-01,"3,811,524",,
2011-05-01,"3,968,058",,
2011-06-01,"3,626,735",,
2011-07-01,"4,830,954",,
2011-08-01,"5,297,328",,
2011-09-01,"3,868,669",,
2011-10-01,"3,693,317",,
2011-11-01,"3,485,119",,
2011-12-01,"3,504,643",,
2012-01-01,"3,033,350",,
2012-02-01,"2,987,384",,
2012-03-01,"3,961,127",,
2012-04-01,"3,992,125",,
2012-05-01,"3,973,653",,
2012-06-01,"3,826,797",,
2012-07-01,"5,043,808",,
2012-08-01,"5,545,058",,
2012-09-01,"4,193,684",,
2012-10-01,"3,785,650",,
2012-11-01,"3,639,033",,
2012-12-01,"3,686,079",,
2013-01-01,"3,207,616",,
2013-02-01,"3,023,509",,
2013-03-01,"4,199,869",,
2013-04-01,"3,816,388",,
2013-05-01,"4,097,354",,
2013-06-01,"3,982,804",,
2013-07-01,"4,996,742",,
2013-08-01,"5,588,038",,
2013-09-01,"4,047,781",,
2013-10-01,"3,784,829",,
2013-11-01,"3,595,742",,
2013-12-01,"3,571,908",,
2014-01-01,"3,000,522",,
2014-02-01,"2,690,902",,
2014-03-01,"3,713,016",,
2014-04-01,"3,752,588",,
2014-05-01,"3,933,264",,
2014-06-01,"3,858,520",,
2014-07-01,"4,664,281",,
2014-08-01,"5,410,680",,
2014-09-01,"3,728,497",,
2014-10-01,"3,505,182",,
2014-11-01,"3,276,131",,
2014-12-01,"3,225,672",,
2015-01-01,"2,630,092",,
2015-02-01,"2,246,459",,
2015-03-01,"3,135,350",,
2015-04-01,"3,074,730",,
2015-05-01,"3,382,375",,
2015-06-01,"3,133,116",,
2015-07-01,"3,943,691",,
2015-08-01,"4,094,939",,
2015-09-01,"2,891,593",,
2015-10-01,"2,702,205",,
2015-11-01,"2,529,396",,
2015-12-01,"2,465,962",,
2016-01-01,"2,206,077",,
2016-02-01,"1,871,198",,
2016-03-01,"2,621,310",,
2016-04-01,"2,570,820",,
2016-05-01,"2,948,259",,
2016-06-01,"2,754,726",,
2016-07-01,"3,623,153",,
2016-08-01,"3,901,299",,
2016-09-01,"2,931,599",,
2016-10-01,"2,766,331",,
2016-11-01,"2,412,593",,
2016-12-01,"2,363,368",,
2017-01-01,"2,266,722",,
2017-02-01,"1,974,461",,
2017-03-01,"2,551,574",,
2017-04-01,"2,755,395",,
2017-05-01,"2,672,385",,
2017-06-01,"2,636,767",,
2017-07-01,"3,580,887",,
2017-08-01,"3,987,240",,
2017-09-01,"3,018,741",,
2017-10-01,"2,826,438",,
2017-11-01,"2,550,252",,
2017-12-01,"2,566,431",,
2018-01-01,"2,333,912",,
2018-02-01,"2,132,580",,
2018-03-01,"3,026,524",,
2018-04-01,"2,929,605",,
2018-05-01,"3,127,170",,
2018-06-01,"2,933,618",,
2018-07-01,"3,616,981",,
2018-08-01,"3,901,715",,
2018-09-01,"2,909,266",,
2018-10-01,"2,742,215",,
2018-11-01,"2,402,231",,
2018-12-01,"2,521,169",,
2019-01-01,"2,130,547",,
2019-02-01,"1,931,112",,
2019-03-01,"2,863,431",,
2019-04-01,"2,827,799",,
2019-05-01,"2,905,090",,
2019-06-01,"2,832,834",,
2019-07-01,"3,618,927",,
2019-08-01,"3,990,837",,
2019-09-01,"2,886,559",,
2019-10-01,"2,678,978",,
2019-11-01,"2,401,886",,
2019-12-01,"2,530,244",,
2020-01-01,"2,132,891",,
2020-02-01,"2,144,269",,
2020-03-01,"1,538,185",,
2020-04-01,"140,775",,
2020-05-01,"159,648",,
2020-06-01,"194,451",,
2020-07-01,"207,192",,
2020-08-01,"217,375",,
2020-09-01,"217,801",,
2020-10-01,"226,634",,
2020-11-01,"198,069",,
2020-12-01,"208,552",,
2021-01-01,"192,318",,
2021-02-01,"184,000",,
2021-03-01,"237,884",,
2021-04-01,"259,592",,
2021-05-01,"283,359",,
2021-06-01,"285,139",,
2021-07-01,"300,171",,
2021-08-01,"335,714",,
2021-09-01,"298,613",,
2021-10-01,"303,044",,
2021-11-01,"460,839",,
2021-12-01,"783,556",,
2022-01-01,"428,880",,
2022-02-01,"409,574",,
2022-03-01,"788,127",,
2022-04-01,"1,461,269",,
2022-05-01,"1,592,223",,
2022-06-01,"1,518,271",,
2022-07-01,"2,049,906",,
2022-08-01,"2,253,542",,
2022-09-01,"1,697,525",,
2022-10-01,"1,888,710",,
2022-11-01,"1,619,412",,
2022-12-01,"1,539,215",,
2023-01-01,"1,633,224",,
2023-02-01,"1,476,489",,
2023-03-01,"2,008,241",,
2023-04-01,"2,062,250",,
2023-05-01,"2,189,862",,
2023-06-01,"2,099,269",,
2023-07-01,"2,959,442",,
2023-08-01,"3,189,774",,
2023-09-01,"2,310,135",,
2023-10-01,"2,250,207",,
2023-11-01,"1,985,056",,
2023-12-01,"2,030,973",,
2024-01-01,"1,811,362",,
2024-02-01,"1,790,552",,
2024-03-01,"2,474,154",,
2024-04-01,"2,278,315",,
2024-05-01,"2,463,544",,
2024-06-01,"2,338,388",,
2024-07-01,"3,080,319",,
2024-08-01,"3,367,608",,
2024-09-01,"2,504,831",,
2024-10-01,"2,341,957",,
2024-11-01,"2,111,545",,
2024-12-01,"2,177,772",,
2025-01-01,"1,822,502",,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,