Traveller type,Reference period,United States of America residents entering Canada,"United States of America residents, air","United States of America residents, land","United States of America residents, water",Canadian residents returning from the United States of America,"Canadian residents returning from the United States of America, air","Canadian residents returning from the United States of America, land","Canadian residents returning from the United States of America, water"
Excursionists,2011-04,"628,297","14,560","613,065",672,"2,634,262","5,035","2,629,010",217
Excursionists,2011-05,"755,750","19,662","713,747","22,341","2,767,052","4,359","2,761,724",969
Excursionists,2011-06,"902,312","26,178","826,784","49,350","2,674,397","3,448","2,669,610","1,339"
Excursionists,2011-07,"1,146,628","36,619","1,014,701","95,308","3,034,276","3,532","3,030,645",99
Excursionists,2011-08,"1,076,752","32,985","961,647","82,120","3,161,149","3,885","3,157,177",87
Excursionists,2011-09,"824,197","28,640","741,160","54,397","2,657,186","3,496","2,653,649",41
Excursionists,2011-10,"714,468","26,396","683,958","4,114","2,675,887","5,226","2,670,661",0
Excursionists,2011-11,"623,322","21,379","601,215",728,"2,544,578","5,270","2,539,308",0
Excursionists,2011-12,"661,155","24,246","636,694",215,"2,763,540","4,912","2,758,628",0
Excursionists,2012-01,"548,934","13,435","535,426",73,"2,241,903","6,905","2,234,998",0
Excursionists,2012-02,"551,432","14,051","537,302",79,"2,313,411","6,700","2,306,711",0
Excursionists,2012-03,"601,369","15,763","584,846",760,"2,754,527","8,117","2,746,410",0
Excursionists,2012-04,"642,947","16,306","624,456","2,185","2,766,693","4,664","2,761,972",57
Excursionists,2012-05,"777,890","20,498","728,745","28,647","2,815,624","3,841","2,810,733","1,050"
Excursionists,2012-06,"928,272","27,062","831,786","69,424","2,758,840","3,175","2,753,028","2,637"
Excursionists,2012-07,"1,092,926","21,188","967,602","104,136","3,093,861","3,121","3,090,731",9
Excursionists,2012-08,"1,051,003","21,128","929,682","100,193","3,246,625","3,458","3,243,158",9
Excursionists,2012-09,"796,361","17,354","716,127","62,880","2,816,633","3,079","2,813,550",4
Excursionists,2012-10,"650,071","18,722","626,545","4,804","2,689,081","6,676","2,682,405",0
Excursionists,2012-11,"583,841","14,389","568,386","1,066","2,615,019","6,840","2,608,179",0
Excursionists,2012-12,"607,187","16,626","590,278",283,"2,799,163","6,689","2,792,474",0
Excursionists,2013-01,"546,644","35,887","510,684",73,"2,375,954","6,466","2,369,488",0
Excursionists,2013-02,"498,684","36,628","462,014",42,"2,263,139","6,316","2,256,823",0
Excursionists,2013-03,"604,049","45,232","558,622",195,"2,794,021","8,011","2,786,010",0
Excursionists,2013-04,"618,087","58,371","556,987","2,729","2,625,210","2,017","2,623,179",14
Excursionists,2013-05,"798,321","79,245","676,592","42,484","2,836,647","1,691","2,833,637","1,319"
Excursionists,2013-06,"985,456","106,794","790,473","88,189","2,839,835","1,381","2,835,921","2,533"
Excursionists,2013-07,"1,095,902","96,364","908,545","90,993","3,137,274","3,947","3,133,327",0
Excursionists,2013-08,"1,100,444","89,019","919,529","91,896","3,260,529","4,446","3,256,083",0
Excursionists,2013-09,"802,908","70,286","683,046","49,576","2,731,311","3,923","2,727,388",0
Excursionists,2013-10,"702,130","57,697","638,683","5,750","2,683,687","2,409","2,681,278",0
Excursionists,2013-11,"599,471","45,015","553,491",965,"2,624,536","2,496","2,622,040",0
Excursionists,2013-12,"605,609","54,339","551,016",254,"2,629,195","2,462","2,626,733",0
Excursionists,2014-01,"503,421","40,397","462,977",47,"2,176,486","5,016","2,171,470",0
Excursionists,2014-02,"482,111","40,554","441,495",62,"1,989,851","5,099","1,984,752",0
Excursionists,2014-03,"560,050","49,374","510,470",206,"2,452,115","6,187","2,445,928",0
Excursionists,2014-04,"628,325","67,657","557,245","3,423","2,518,084","2,005","2,516,074",5
Excursionists,2014-05,"804,024","93,589","667,924","42,511","2,713,071","1,804","2,710,038","1,229"
Excursionists,2014-06,"981,892","124,078","780,762","77,052","2,689,582","1,428","2,684,998","3,156"
Excursionists,2014-07,"1,073,282","112,081","887,462","73,739","2,922,615","3,633","2,918,976",6
Excursionists,2014-08,"1,094,488","101,591","915,851","77,046","3,081,777","4,208","3,077,561",8
Excursionists,2014-09,"785,220","82,254","659,285","43,681","2,526,116","3,656","2,522,457",3
Excursionists,2014-10,"698,255","60,979","632,983","4,293","2,454,942",96,"2,454,846",0
Excursionists,2014-11,"579,649","45,959","532,405","1,285","2,291,138",114,"2,291,024",0
Excursionists,2014-12,"631,514","55,500","575,750",264,"2,394,957",95,"2,394,862",0
Excursionists,2015-01,"541,506","42,051","499,364",91,"1,862,624","3,041","1,859,583",0
Excursionists,2015-02,"495,370","43,539","451,659",172,"1,603,824","2,979","1,600,843",2
Excursionists,2015-03,"589,370","53,399","535,444",527,"1,988,749","3,582","1,985,145",22
Excursionists,2015-04,"645,210","55,408","582,477","7,325","1,991,990","2,772","1,989,212",6
Excursionists,2015-05,"849,992","75,231","716,942","57,819","2,231,143","2,247","2,227,909",987
Excursionists,2015-06,"1,035,560","101,114","839,057","95,389","2,155,507","1,709","2,152,251","1,547"
Excursionists,2015-07,"1,171,279","82,983","986,850","101,446","2,355,426","3,121","2,352,234",71
Excursionists,2015-08,"1,141,701","75,739","970,023","95,939","2,261,131","3,558","2,257,558",15
Excursionists,2015-09,"871,658","58,769","755,302","57,587","1,857,636","3,136","1,854,491",9
Excursionists,2015-10,"736,521","49,287","682,180","5,054","1,842,199",372,"1,841,827",0
Excursionists,2015-11,"635,033","38,501","594,877","1,655","1,750,943",425,"1,750,518",0
Excursionists,2015-12,"675,824","45,565","629,877",382,"1,804,077",359,"1,803,718",0
Excursionists,2016-01,"608,983","35,364","573,498",121,"1,566,768","3,196","1,563,572",0
Excursionists,2016-02,"582,510","41,915","540,391",204,"1,346,317","3,191","1,343,126",0
Excursionists,2016-03,"658,049","48,316","608,478","1,255","1,672,036","3,823","1,668,213",0
Excursionists,2016-04,"701,780","58,322","633,269","10,189","1,726,635","3,915","1,722,124",596
Excursionists,2016-05,"892,448","78,197","756,913","57,338","1,930,996","3,455","1,925,307","2,234"
Excursionists,2016-06,"1,073,123","108,459","872,951","91,713","1,901,623","2,742","1,896,224","2,657"
Excursionists,2016-07,"1,278,296","104,278","1,070,371","103,647","2,174,978","4,114","2,170,844",20
Excursionists,2016-08,"1,161,961","89,681","985,919","86,361","2,228,507","4,790","2,223,617",100
Excursionists,2016-09,"927,872","76,667","790,641","60,564","1,886,864","4,074","1,882,785",5
Excursionists,2016-10,"774,147","57,929","710,354","5,864","1,861,438","1,052","1,860,386",0
Excursionists,2016-11,"663,166","44,658","616,509","1,999","1,670,278",988,"1,669,290",0
Excursionists,2016-12,"681,250","53,046","627,931",273,"1,735,196",935,"1,734,261",0
Excursionists,2017-01,"597,931","41,138","556,681",112,"1,576,524","4,815","1,571,709",0
Excursionists,2017-02,"551,430","41,324","509,833",273,"1,425,852","4,318","1,421,534",0
Excursionists,2017-03,"619,757","51,961","567,326",470,"1,643,749","5,617","1,638,132",0
Excursionists,2017-04,"733,540","67,471","656,203","9,866","1,761,767","4,169","1,757,174",424
Excursionists,2017-05,"872,408","83,104","736,754","52,550","1,764,258","3,267","1,759,627","1,364"
Excursionists,2017-06,"1,101,209","124,337","881,055","95,817","1,797,969","3,199","1,793,087","1,683"
Excursionists,2017-07,"1,294,869","113,299","1,085,788","95,782","2,128,099","4,936","2,123,157",6
Excursionists,2017-08,"1,203,594","104,571","1,013,731","85,292","2,265,169","5,409","2,259,752",8
Excursionists,2017-09,"953,944","81,942","807,108","64,894","1,966,755","4,897","1,961,854",4
Excursionists,2017-10,"765,310","63,857","699,347","2,106","1,892,175",847,"1,891,328",0
Excursionists,2017-11,"666,326","51,842","614,329",155,"1,789,210",804,"1,788,406",0
Excursionists,2017-12,"693,019","53,077","639,925",17,"1,889,959",764,"1,889,195",0
Excursionists,2018-01,"576,053","44,665","531,330",58,"1,636,190","5,277","1,630,913",0
Excursionists,2018-02,"543,158","45,253","497,807",98,"1,546,823","5,138","1,541,685",0
Excursionists,2018-03,"669,056","55,879","612,967",210,"2,003,464","6,342","1,997,118",4
Excursionists,2018-04,"664,228","70,916","591,386","1,926","1,894,402","4,690","1,889,393",319
Excursionists,2018-05,"820,880","86,805","717,152","16,923","2,133,717","4,002","2,128,426","1,289"
Excursionists,2018-06,"1,070,007","127,611","906,218","36,178","2,040,788","3,330","2,035,659","1,799"
Excursionists,2018-07,"1,281,341","107,189","1,080,843","93,309","2,132,595","4,956","2,127,632",7
Excursionists,2018-08,"1,234,692","100,342","1,037,245","97,105","2,216,342","5,571","2,210,764",7
Excursionists,2018-09,"955,530","79,248","807,568","68,714","1,889,871","5,250","1,884,618",3
Excursionists,2018-10,"763,655","61,049","700,599","2,007","1,896,556",913,"1,895,643",0
Excursionists,2018-11,"665,443","50,108","615,109",226,"1,679,007",861,"1,678,146",0
Excursionists,2018-12,"728,044","50,779","677,248",17,"1,829,971",850,"1,829,121",0
Excursionists,2019-01,"559,426","32,223","527,130",73,"1,586,545","113,369","1,473,128",48
Excursionists,2019-02,"517,882","30,105","487,736",41,"1,505,088","110,419","1,394,630",39
Excursionists,2019-03,"660,124","40,115","618,889","1,120","1,990,343","135,675","1,854,570",98
Excursionists,2019-04,"691,862","46,418","643,684","1,760","1,958,111","115,726","1,842,143",242
Excursionists,2019-05,"860,196","40,465","790,836","28,895","2,043,702","77,551","1,965,330",821
Excursionists,2019-06,"1,101,393","63,108","973,757","64,528","1,978,577","52,698","1,923,757","2,122"
Excursionists,2019-07,"1,273,789","60,623","1,138,688","74,478","2,230,614","62,771","2,162,009","5,834"
Excursionists,2019-08,"1,225,123","45,624","1,120,740","58,759","2,331,372","65,865","2,256,347","9,160"
Excursionists,2019-09,"904,723","39,180","819,898","45,645","1,922,684","59,766","1,859,401","3,517"
Excursionists,2019-10,"761,927","35,874","723,802","2,251","1,915,920","78,043","1,837,040",837
Excursionists,2019-11,"680,257","34,231","645,599",427,"1,784,230","80,692","1,703,413",125
Excursionists,2019-12,"716,408","34,804","681,465",139,"1,846,609","72,918","1,773,650",41
Excursionists,2020-01,"580,959","28,669","552,240",50,"1,567,128","89,701","1,477,393",34
Excursionists,2020-02,"581,324","26,232","555,030",62,"1,622,425","85,105","1,537,269",51
Excursionists,2020-03,"302,382","15,171","287,153",58,"889,386","66,859","822,407",120
Excursionists,2020-04,"41,425","1,160","40,253",12,"109,848","2,382","107,454",12
Excursionists,2020-05,"55,647","1,142","54,479",26,"139,634","1,772","137,819",43
Excursionists,2020-06,"69,409","1,584","67,665",160,"170,800","2,253","168,454",93
Excursionists,2020-07,"72,954","1,853","70,875",226,"180,503","2,476","177,825",202
Excursionists,2020-08,"75,848","2,024","73,654",170,"189,475","5,163","184,075",237
Excursionists,2020-09,"76,033","1,895","74,011",127,"195,464","3,294","191,988",182
Excursionists,2020-10,"75,787","1,767","73,944",76,"204,827","6,515","198,224",88
Excursionists,2020-11,"64,189","1,547","62,607",35,"178,781","7,939","170,780",62
Excursionists,2020-12,"65,814","1,675","64,126",13,"186,151","7,792","178,321",38
Excursionists,2021-01,"60,156","1,790","58,361",5,"172,953","9,137","163,785",31
Excursionists,2021-02,"56,151",887,"55,249",15,"164,157","4,287","159,823",47
Excursionists,2021-03,"71,418",817,"70,572",29,"206,146","3,388","202,704",54
Excursionists,2021-04,"69,200","1,073","68,055",72,"201,057","4,372","196,608",77
Excursionists,2021-05,"77,562","1,151","76,246",165,"216,754","5,875","210,707",172
Excursionists,2021-06,"83,150","1,680","81,289",181,"225,725","3,514","221,963",248
Excursionists,2021-07,"85,990","2,333","83,538",119,"230,153","5,389","224,523",241
Excursionists,2021-08,"135,251","4,045","131,024",182,"241,471","6,678","234,691",102
Excursionists,2021-09,"142,365","4,481","137,690",194,"237,978","6,891","231,025",62
Excursionists,2021-10,"146,478","4,265","142,130",83,"247,873","10,042","237,691",140
Excursionists,2021-11,"135,880","3,833","132,015",32,"288,457","11,020","277,375",62
Excursionists,2021-12,"138,975","3,581","135,341",53,"518,736","11,828","506,869",39
Excursionists,2022-01,"83,964","2,873","81,080",11,"253,958","11,022","242,924",12
Excursionists,2022-02,"99,005","2,799","96,187",19,"255,626","9,473","246,135",18
Excursionists,2022-03,"137,610","3,957","133,607",46,"389,978","14,869","375,064",45
Excursionists,2022-04,"273,435","5,805","256,763","10,867","835,497","16,135","814,715","4,647"
Excursionists,2022-05,"410,949","7,991","309,305","93,653","954,438","15,708","926,163","12,567"
Excursionists,2022-06,"577,225","18,744","392,562","165,919","983,878","16,463","955,837","11,578"
Excursionists,2022-07,"710,236","16,211","488,990","205,035","1,123,005","16,642","1,084,152","22,211"
Excursionists,2022-08,"659,568","12,322","455,910","191,336","1,186,703","17,326","1,143,914","25,463"
Excursionists,2022-09,"540,658","11,012","381,378","148,268","1,042,322","17,693","1,001,452","23,177"
Excursionists,2022-10,"544,051","9,539","483,021","51,491","1,232,950","19,486","1,200,942","12,522"
Excursionists,2022-11,"416,642","8,522","406,795","1,325","1,103,823","24,462","1,074,075","5,286"
Excursionists,2022-12,"419,074","8,985","409,069","1,020","1,097,867","35,385","1,060,155","2,327"
Excursionists,2023-01,"388,638","6,970","381,219",449,"1,074,158","24,004","1,048,420","1,734"
Excursionists,2023-02,"370,801","6,982","363,432",387,"1,029,986","23,263","1,004,864","1,859"
Excursionists,2023-03,"426,067","7,627","417,635",805,"1,247,277","28,180","1,216,294","2,803"
Excursionists,2023-04,"521,711","9,930","495,184","16,597","1,269,990","24,324","1,238,985","6,681"
Excursionists,2023-05,"776,593","14,014","600,020","162,559","1,417,440","19,998","1,355,071","42,371"
Excursionists,2023-06,"1,025,639","26,950","724,078","274,611","1,433,769","20,617","1,387,082","26,070"
Excursionists,2023-07,"1,175,637","19,416","877,248","278,973","1,729,240","21,790","1,673,866","33,584"
Excursionists,2023-08,"1,100,269","15,341","824,282","260,646","1,815,351","17,260","1,755,760","42,331"
Excursionists,2023-09,"902,041","12,849","666,017","223,175","1,529,385","19,592","1,470,062","39,731"
Excursionists,2023-10,"650,256","10,901","573,613","65,742","1,480,426","20,208","1,444,017","16,201"
Excursionists,2023-11,"506,243","8,638","496,321","1,284","1,362,556","20,458","1,338,528","3,570"
Excursionists,2023-12,"577,101","9,116","564,747","3,238","1,450,440","19,527","1,426,906","4,007"
Excursionists,2024-01,"404,993","7,524","396,918",551,"1,199,615","21,697","1,175,791","2,127"
Excursionists,2024-02,"468,241","7,742","459,758",741,"1,284,892","19,974","1,262,112","2,806"
Excursionists,2024-03,"535,805","8,775","524,571","2,459","1,556,258","22,590","1,529,197","4,471"
Excursionists,2024-04,"596,206","11,565","555,282","29,359","1,484,349","20,792","1,453,036","10,521"
Excursionists,2024-05,"884,688","15,868","683,855","184,965","1,654,605","19,970","1,592,682","41,953"
Excursionists,2024-06,"1,141,314","26,612","833,911","280,791","1,584,525","26,876","1,530,332","27,317"
Excursionists,2024-07,"1,260,519","19,673","945,056","295,790","1,824,156","31,061","1,762,445","30,650"
Excursionists,2024-08,"1,225,344","15,425","911,307","298,612","1,953,379","30,711","1,879,058","43,610"
Excursionists,2024-09,"955,149","15,300","693,678","246,171","1,650,530","29,958","1,578,664","41,908"
Excursionists,2024-10,"696,357","11,913","623,333","61,111","1,589,648","23,153","1,554,061","12,434"
Excursionists,2024-11,"595,500","9,470","584,200","1,830","1,496,142","17,857","1,474,004","4,281"
Excursionists,2024-12,"616,522","9,759","604,533","2,230","1,495,633","19,096","1,472,402","4,135"
Excursionists,2025-01,"493,935","8,766","484,773",396,"1,260,371","19,154","1,239,887","1,330"
Tourists,2000-01,"576,158","193,838","382,087",233,"937,669","466,608","470,781",280
Tourists,2000-02,"734,096","230,484","503,460",152,"933,472","511,674","421,624",174
Tourists,2000-03,"788,426","255,104","533,018",304,"1,383,065","617,201","765,507",357
Tourists,2000-04,"908,557","256,054","651,173","1,330","1,362,891","525,636","835,998","1,257"
Tourists,2000-05,"1,256,883","315,596","899,527","41,760","1,257,535","460,820","776,880","19,835"
Tourists,2000-06,"1,843,742","436,876","1,332,341","74,525","1,081,729","354,332","712,246","15,151"
Tourists,2000-07,"2,514,257","486,797","1,929,059","98,401","1,731,130","347,612","1,352,378","31,140"
Tourists,2000-08,"2,382,133","467,064","1,814,794","100,275","1,800,095","400,634","1,371,073","28,388"
Tourists,2000-09,"1,567,783","365,557","1,128,444","73,782","1,229,648","370,952","838,911","19,785"
Tourists,2000-10,"1,010,492","305,028","693,762","11,702","1,147,971","446,812","697,576","3,583"
Tourists,2000-11,"755,822","248,126","507,460",236,"969,184","468,549","499,999",636
Tourists,2000-12,"850,621","274,708","575,671",242,"832,611","401,600","430,871",140
Tourists,2001-01,"619,069","213,624","405,325",120,"995,501","499,494","495,804",203
Tourists,2001-02,"751,143","226,589","524,386",168,"873,818","479,652","393,984",182
Tourists,2001-03,"849,818","258,521","590,966",331,"1,324,802","592,362","732,022",418
Tourists,2001-04,"948,842","271,595","673,932","3,315","1,300,194","497,139","802,069",986
Tourists,2001-05,"1,335,112","336,737","954,287","44,088","1,201,875","430,710","748,749","22,416"
Tourists,2001-06,"1,968,385","465,552","1,421,059","81,774","1,054,186","331,770","706,445","15,971"
Tourists,2001-07,"2,573,644","502,359","1,970,179","101,106","1,675,336","340,756","1,303,936","30,644"
Tourists,2001-08,"2,687,343","508,182","2,079,838","99,323","1,752,515","369,305","1,352,937","30,273"
Tourists,2001-09,"1,293,644","268,715","951,381","73,548","999,361","212,208","759,759","27,394"
Tourists,2001-10,"922,331","266,211","621,102","35,018","863,479","306,913","549,224","7,342"
Tourists,2001-11,"734,758","205,295","529,260",203,"759,490","309,900","449,063",527
Tourists,2001-12,"886,125","258,801","627,083",241,"726,370","284,664","441,586",120
Tourists,2002-01,"609,544","196,273","413,144",127,"828,134","375,358","452,598",178
Tourists,2002-02,"778,207","212,119","565,940",148,"762,028","376,437","385,428",163
Tourists,2002-03,"905,852","249,141","656,409",302,"1,218,383","460,611","757,338",434
Tourists,2002-04,"883,108","238,512","642,461","2,135","1,105,711","409,802","694,621","1,288"
Tourists,2002-05,"1,351,861","312,928","1,000,522","38,411","1,102,359","360,945","723,306","18,108"
Tourists,2002-06,"1,921,046","433,226","1,414,484","73,336","1,009,878","276,390","711,604","21,884"
Tourists,2002-07,"2,690,921","511,388","2,070,077","109,456","1,520,851","278,868","1,211,064","30,919"
Tourists,2002-08,"2,808,101","503,581","2,198,132","106,388","1,675,807","323,719","1,320,235","31,853"
Tourists,2002-09,"1,420,168","334,233","1,002,450","83,485","1,144,492","282,882","834,065","27,545"
Tourists,2002-10,"1,084,329","292,505","757,413","34,411","1,001,179","347,088","645,058","9,033"
Tourists,2002-11,"791,844","225,161","566,255",428,"818,992","353,463","465,050",479
Tourists,2002-12,"922,238","280,539","641,479",220,"836,539","335,313","501,089",137
Tourists,2003-01,"654,497","198,932","455,396",169,"865,217","406,662","458,344",211
Tourists,2003-02,"743,109","209,508","533,391",210,"772,230","402,552","369,534",144
Tourists,2003-03,"742,204","231,549","510,342",313,"1,145,924","470,912","674,786",226
Tourists,2003-04,"731,075","197,730","530,482","2,863","981,729","371,670","609,055","1,004"
Tourists,2003-05,"1,068,063","248,324","778,975","40,764","1,006,245","339,636","646,108","20,501"
Tourists,2003-06,"1,618,914","404,022","1,136,716","78,176","1,007,472","276,006","711,418","20,048"
Tourists,2003-07,"2,310,697","479,354","1,705,510","125,833","1,446,539","280,771","1,136,907","28,861"
Tourists,2003-08,"2,465,850","446,145","1,871,507","148,198","1,682,939","312,793","1,337,198","32,948"
Tourists,2003-09,"1,273,662","306,817","856,813","110,032","1,049,824","272,693","750,494","26,637"
Tourists,2003-10,"1,031,166","283,262","711,287","36,617","1,001,651","338,686","659,507","3,458"
Tourists,2003-11,"717,638","220,944","496,429",265,"897,733","360,257","537,164",312
Tourists,2003-12,"875,526","275,483","599,814",229,"808,233","340,668","467,431",134
Tourists,2004-01,"592,764","185,630","406,983",151,"860,017","399,160","460,657",200
Tourists,2004-02,"711,206","207,890","503,094",222,"885,837","440,113","445,523",201
Tourists,2004-03,"759,710","255,082","504,305",323,"1,303,397","524,633","778,469",295
Tourists,2004-04,"895,691","259,575","633,806","2,310","1,225,538","450,699","773,787","1,052"
Tourists,2004-05,"1,214,201","305,652","868,237","40,312","1,201,765","389,296","787,815","24,654"
Tourists,2004-06,"1,741,534","437,394","1,207,567","96,573","988,599","287,612","685,677","15,310"
Tourists,2004-07,"2,625,523","538,077","1,933,892","153,554","1,551,277","305,701","1,216,973","28,603"
Tourists,2004-08,"2,384,515","533,600","1,704,532","146,383","1,712,838","297,293","1,387,538","28,007"
Tourists,2004-09,"1,506,938","360,435","1,024,303","122,200","1,140,020","303,993","803,438","32,589"
Tourists,2004-10,"1,049,461","310,467","702,903","36,091","1,111,200","388,194","719,493","3,513"
Tourists,2004-11,"722,984","248,808","473,913",263,"976,886","401,525","575,046",315
Tourists,2004-12,"882,981","289,183","593,583",215,"899,143","395,172","503,799",172
Tourists,2005-01,"585,330","213,710","371,328",292,"974,478","477,801","496,504",173
Tourists,2005-02,"725,730","237,651","487,833",246,"922,449","466,579","455,620",250
Tourists,2005-03,"789,600","258,478","530,777",345,"1,485,931","586,264","899,231",436
Tourists,2005-04,"810,954","248,498","561,067","1,389","1,249,696","506,982","741,798",916
Tourists,2005-05,"1,161,796","308,406","808,249","45,141","1,306,484","445,289","834,584","26,611"
Tourists,2005-06,"1,750,683","469,390","1,191,753","89,540","1,061,147","321,227","725,000","14,920"
Tourists,2005-07,"2,514,513","527,730","1,830,947","155,836","1,731,528","341,139","1,358,822","31,567"
